Size, Time
6400, 8.344650268554688e-06
6400, 1.049041748046875e-05
6400, 9.298324584960938e-06
6400, 7.3909759521484375e-06
6500, 1.0967254638671875e-05
6500, 1.049041748046875e-05
6500, 1.0967254638671875e-05
6500, 1.0251998901367188e-05
6600, 9.5367431640625e-06
6600, 9.298324584960938e-06
6600, 9.5367431640625e-06
6600, 1.049041748046875e-05
6700, 1.049041748046875e-05
6700, 1.0013580322265625e-05
6700, 7.867813110351562e-06
6700, 9.059906005859375e-06
6800, 1.049041748046875e-05
6800, 1.049041748046875e-05
6800, 1.1205673217773438e-05
6800, 7.3909759521484375e-06
6900, 1.0013580322265625e-05
6900, 1.0013580322265625e-05
6900, 1.0728836059570312e-05
6900, 1.0728836059570312e-05
7000, 8.821487426757812e-06
7000, 1.0013580322265625e-05
7000, 9.775161743164062e-06
7000, 9.775161743164062e-06
7100, 9.059906005859375e-06
7100, 1.0251998901367188e-05
7100, 2.8371810913085938e-05
7100, 1.0967254638671875e-05
7200, 1.0013580322265625e-05
7200, 1.049041748046875e-05
7200, 9.298324584960938e-06
7200, 9.059906005859375e-06
7300, 8.344650268554688e-06
7300, 7.867813110351562e-06
7300, 9.775161743164062e-06
7300, 1.0251998901367188e-05
7400, 1.049041748046875e-05
7400, 1.0251998901367188e-05
7400, 7.3909759521484375e-06
7400, 9.775161743164062e-06
7500, 1.0013580322265625e-05
7500, 1.1205673217773438e-05
7500, 9.5367431640625e-06
7500, 9.5367431640625e-06
7600, 7.3909759521484375e-06
7600, 6.9141387939453125e-06
7600, 1.0013580322265625e-05
7600, 7.152557373046875e-06
7700, 8.106231689453125e-06
7700, 2.6941299438476562e-05
7700, 8.106231689453125e-06
7700, 9.775161743164062e-06
7800, 7.152557373046875e-06
7800, 9.298324584960938e-06
7800, 9.5367431640625e-06
7800, 1.0013580322265625e-05
7900, 9.059906005859375e-06
7900, 1.0013580322265625e-05
7900, 8.344650268554688e-06
7900, 1.0728836059570312e-05
8000, 9.5367431640625e-06
8000, 9.059906005859375e-06
8000, 1.0013580322265625e-05
8000, 1.049041748046875e-05
8100, 1.0013580322265625e-05
8100, 1.0013580322265625e-05
8100, 7.62939453125e-06
8100, 1.0013580322265625e-05
8200, 9.298324584960938e-06
8200, 1.049041748046875e-05
8200, 1.1205673217773438e-05
8200, 7.62939453125e-06
8300, 1.0728836059570312e-05
8300, 9.775161743164062e-06
8300, 9.298324584960938e-06
8300, 7.3909759521484375e-06
8400, 1.0251998901367188e-05
8400, 1.0251998901367188e-05
8400, 1.0251998901367188e-05
8400, 9.298324584960938e-06
8500, 1.049041748046875e-05
8500, 9.298324584960938e-06
8500, 9.059906005859375e-06
8500, 8.106231689453125e-06
8600, 1.0728836059570312e-05
8600, 9.059906005859375e-06
8600, 9.298324584960938e-06
8600, 9.5367431640625e-06
8700, 1.0728836059570312e-05
8700, 8.821487426757812e-06
8700, 1.049041748046875e-05
8700, 1.0013580322265625e-05
8800, 1.1205673217773438e-05
8800, 1.049041748046875e-05
8800, 1.049041748046875e-05
8800, 9.775161743164062e-06
8900, 9.775161743164062e-06
8900, 7.62939453125e-06
8900, 7.62939453125e-06
8900, 9.775161743164062e-06
9000, 1.0728836059570312e-05
9000, 1.0251998901367188e-05
9000, 1.049041748046875e-05
9000, 1.0967254638671875e-05
9100, 9.775161743164062e-06
9100, 1.0728836059570312e-05
9100, 1.0251998901367188e-05
9100, 9.775161743164062e-06
9200, 9.298324584960938e-06
9200, 9.059906005859375e-06
9200, 8.58306884765625e-06
9200, 9.775161743164062e-06
9300, 7.867813110351562e-06
9300, 7.62939453125e-06
9300, 1.0251998901367188e-05
9300, 6.9141387939453125e-06
9400, 1.049041748046875e-05
9400, 9.5367431640625e-06
9400, 9.775161743164062e-06
9400, 1.1205673217773438e-05
9500, 9.775161743164062e-06
9500, 6.9141387939453125e-06
9500, 9.059906005859375e-06
9500, 9.5367431640625e-06
9600, 8.821487426757812e-06
9600, 7.62939453125e-06
9600, 7.62939453125e-06
9600, 9.5367431640625e-06
9700, 1.0013580322265625e-05
9700, 9.059906005859375e-06
9700, 7.3909759521484375e-06
9700, 1.1205673217773438e-05
9800, 1.1920928955078125e-05
9800, 9.775161743164062e-06
9800, 9.5367431640625e-06
9800, 9.059906005859375e-06
9900, 1.0013580322265625e-05
9900, 1.0013580322265625e-05
9900, 9.298324584960938e-06
9900, 9.775161743164062e-06
10000, 7.62939453125e-06
10000, 9.059906005859375e-06
10000, 9.775161743164062e-06
10000, 9.298324584960938e-06
