Size, Time
256, 1.7881393432617188e-05
256, 1.6450881958007812e-05
256, 1.430511474609375e-05
256, 1.5497207641601562e-05
256, 1.4781951904296875e-05
256, 1.430511474609375e-05
256, 1.33514404296875e-05
256, 1.4066696166992188e-05
256, 1.33514404296875e-05
256, 1.621246337890625e-05
512, 1.6927719116210938e-05
512, 1.4543533325195312e-05
512, 1.6450881958007812e-05
512, 1.5020370483398438e-05
512, 2.1696090698242188e-05
512, 1.5735626220703125e-05
512, 1.5020370483398438e-05
512, 1.049041748046875e-05
512, 1.0728836059570312e-05
512, 1.621246337890625e-05
1024, 1.811981201171875e-05
1024, 1.811981201171875e-05
1024, 1.0728836059570312e-05
1024, 1.5497207641601562e-05
1024, 1.5735626220703125e-05
1024, 1.6689300537109375e-05
1024, 1.6450881958007812e-05
1024, 1.5735626220703125e-05
1024, 1.811981201171875e-05
1024, 1.6927719116210938e-05
2048, 1.2636184692382812e-05
2048, 1.6927719116210938e-05
2048, 1.71661376953125e-05
2048, 1.7642974853515625e-05
2048, 2.2172927856445312e-05
2048, 8.702278137207031e-05
2048, 1.1920928955078125e-05
2048, 1.8358230590820312e-05
2048, 1.0967254638671875e-05
2048, 1.6689300537109375e-05
4096, 1.621246337890625e-05
4096, 1.6450881958007812e-05
4096, 1.71661376953125e-05
4096, 1.5974044799804688e-05
4096, 1.8596649169921875e-05
4096, 0.00018596649169921875
4096, 1.7404556274414062e-05
4096, 2.002716064453125e-05
4096, 1.0251998901367188e-05
4096, 1.52587890625e-05
8192, 1.1920928955078125e-05
8192, 1.0967254638671875e-05
8192, 1.9073486328125e-05
8192, 1.7404556274414062e-05
8192, 1.9311904907226562e-05
8192, 5.125999450683594e-05
8192, 3.719329833984375e-05
8192, 1.6450881958007812e-05
8192, 1.6689300537109375e-05
8192, 1.8835067749023438e-05
16384, 1.6450881958007812e-05
16384, 1.5735626220703125e-05
16384, 1.1444091796875e-05
16384, 1.1205673217773438e-05
16384, 1.049041748046875e-05
16384, 1.1920928955078125e-05
16384, 1.6927719116210938e-05
16384, 1.7404556274414062e-05
16384, 1.71661376953125e-05
16384, 1.7404556274414062e-05
32768, 1.9311904907226562e-05
32768, 1.7642974853515625e-05
32768, 2.09808349609375e-05
32768, 1.9788742065429688e-05
32768, 1.8358230590820312e-05
32768, 1.7881393432617188e-05
32768, 2.1457672119140625e-05
32768, 3.981590270996094e-05
32768, 1.7404556274414062e-05
32768, 1.9311904907226562e-05
65536, 1.9788742065429688e-05
65536, 3.075599670410156e-05
65536, 1.9550323486328125e-05
65536, 2.002716064453125e-05
65536, 2.3365020751953125e-05
65536, 1.811981201171875e-05
65536, 2.3365020751953125e-05
65536, 1.6450881958007812e-05
65536, 2.1457672119140625e-05
65536, 3.790855407714844e-05
131072, 1.3113021850585938e-05
131072, 2.1457672119140625e-05
