Type, Size, Saturation, Time
list, 1, 70, 3.528594970703125e-05
list, 1, 70, 3.075599670410156e-05
list, 1, 70, 2.9802322387695312e-05
list, 1, 70, 3.147125244140625e-05
list, 1, 70, 2.574920654296875e-05
list, 1, 70, 2.6464462280273438e-05
list, 1, 70, 3.075599670410156e-05
list, 1, 75, 3.147125244140625e-05
list, 1, 75, 3.838539123535156e-05
list, 1, 75, 5.364418029785156e-05
list, 1, 75, 4.0531158447265625e-05
list, 1, 75, 4.124641418457031e-05
list, 1, 75, 3.790855407714844e-05
list, 1, 75, 3.3855438232421875e-05
list, 1, 75, 2.9802322387695312e-05
list, 1, 75, 3.552436828613281e-05
list, 1, 75, 3.4332275390625e-05
list, 1, 80, 3.147125244140625e-05
list, 1, 80, 3.170967102050781e-05
list, 1, 80, 5.459785461425781e-05
list, 1, 80, 2.956390380859375e-05
list, 1, 80, 2.765655517578125e-05
list, 1, 80, 2.6941299438476562e-05
list, 1, 80, 2.6941299438476562e-05
list, 1, 80, 3.3855438232421875e-05
list, 1, 80, 3.123283386230469e-05
list, 1, 80, 2.9802322387695312e-05
list, 1, 85, 4.76837158203125e-05
list, 1, 85, 4.124641418457031e-05
list, 1, 85, 3.0994415283203125e-05
list, 1, 85, 4.100799560546875e-05
list, 1, 85, 2.7894973754882812e-05
list, 1, 85, 3.123283386230469e-05
list, 1, 85, 2.86102294921875e-05
list, 1, 85, 3.4809112548828125e-05
list, 1, 85, 2.956390380859375e-05
list, 1, 85, 2.8848648071289062e-05
list, 1, 90, 2.1219253540039062e-05
list, 1, 90, 3.62396240234375e-05
list, 1, 90, 3.0517578125e-05
list, 1, 90, 3.6716461181640625e-05
list, 1, 90, 3.981590270996094e-05
list, 1, 90, 3.933906555175781e-05
list, 1, 90, 4.267692565917969e-05
list, 1, 90, 3.933906555175781e-05
list, 1, 90, 4.267692565917969e-05
list, 1, 90, 4.291534423828125e-05
list, 1, 95, 4.029273986816406e-05
list, 1, 95, 3.0517578125e-05
list, 1, 95, 3.0994415283203125e-05
list, 1, 95, 2.7894973754882812e-05
list, 1, 95, 2.9802322387695312e-05
list, 1, 95, 2.7418136596679688e-05
list, 1, 95, 2.288818359375e-05
list, 1, 95, 3.314018249511719e-05
list, 1, 95, 2.9325485229492188e-05
list, 1, 95, 4.0531158447265625e-05
list, 1, 100, 3.266334533691406e-05
list, 1, 100, 3.0994415283203125e-05
list, 1, 100, 3.910064697265625e-05
list, 1, 100, 4.291534423828125e-05
list, 1, 100, 2.956390380859375e-05
list, 1, 100, 3.170967102050781e-05
list, 1, 100, 2.9325485229492188e-05
list, 1, 100, 3.170967102050781e-05
list, 1, 100, 2.6464462280273438e-05
list, 1, 100, 2.765655517578125e-05
list, 2, 5, 2.9087066650390625e-05
list, 2, 5, 3.1948089599609375e-05
list, 2, 5, 2.574920654296875e-05
list, 2, 5, 3.504753112792969e-05
list, 2, 5, 3.62396240234375e-05
list, 2, 5, 4.5299530029296875e-05
list, 2, 5, 3.147125244140625e-05
list, 2, 5, 4.649162292480469e-05
list, 2, 5, 4.124641418457031e-05
list, 2, 5, 0.00015044212341308594
list, 2, 10, 2.5272369384765625e-05
list, 2, 10, 4.315376281738281e-05
list, 2, 10, 4.076957702636719e-05
list, 2, 10, 4.410743713378906e-05
list, 2, 10, 4.38690185546875e-05
list, 2, 10, 4.029273986816406e-05
list, 2, 10, 3.7670135498046875e-05
list, 2, 10, 2.8133392333984375e-05
list, 2, 10, 7.462501525878906e-05
list, 2, 10, 2.765655517578125e-05
list, 2, 15, 4.8160552978515625e-05
list, 2, 15, 4.124641418457031e-05
list, 2, 15, 3.9577484130859375e-05
list, 2, 15, 6.246566772460938e-05
list, 2, 15, 4.267692565917969e-05
list, 2, 15, 3.218650817871094e-05
list, 2, 15, 3.337860107421875e-05
list, 2, 15, 3.409385681152344e-05
list, 2, 15, 3.0040740966796875e-05
list, 2, 15, 2.6941299438476562e-05
list, 2, 20, 2.5987625122070312e-05
list, 2, 20, 3.0279159545898438e-05
list, 2, 20, 3.4332275390625e-05
list, 2, 20, 3.075599670410156e-05
list, 2, 20, 2.9802322387695312e-05
list, 2, 20, 2.5987625122070312e-05
list, 2, 20, 3.4809112548828125e-05
list, 2, 20, 3.838539123535156e-05
list, 2, 20, 4.076957702636719e-05
list, 2, 20, 2.7418136596679688e-05
list, 2, 25, 3.218650817871094e-05
list, 2, 25, 4.1961669921875e-05
list, 2, 25, 3.2901763916015625e-05
list, 2, 25, 2.8133392333984375e-05
list, 2, 25, 3.147125244140625e-05
list, 2, 25, 2.9087066650390625e-05
list, 2, 25, 3.743171691894531e-05
list, 2, 25, 3.361701965332031e-05
list, 2, 25, 3.719329833984375e-05
list, 2, 25, 4.029273986816406e-05
list, 2, 30, 3.24249267578125e-05
list, 2, 30, 3.2901763916015625e-05
list, 2, 30, 2.6702880859375e-05
list, 2, 30, 3.0517578125e-05
list, 2, 30, 2.956390380859375e-05
list, 2, 30, 3.218650817871094e-05
list, 2, 30, 2.7418136596679688e-05
list, 2, 30, 2.6941299438476562e-05
list, 2, 30, 3.147125244140625e-05
list, 2, 30, 3.337860107421875e-05
list, 2, 35, 2.956390380859375e-05
list, 2, 35, 2.9325485229492188e-05
list, 2, 35, 4.863739013671875e-05
list, 2, 35, 3.3855438232421875e-05
list, 2, 35, 3.6716461181640625e-05
list, 2, 35, 6.318092346191406e-05
list, 2, 35, 4.220008850097656e-05
list, 2, 35, 3.528594970703125e-05
list, 2, 35, 3.1948089599609375e-05
list, 2, 35, 2.6941299438476562e-05
list, 2, 40, 3.075599670410156e-05
list, 2, 40, 3.528594970703125e-05
list, 2, 40, 3.552436828613281e-05
list, 2, 40, 2.9802322387695312e-05
list, 2, 40, 3.7670135498046875e-05
list, 2, 40, 4.506111145019531e-05
list, 2, 40, 3.838539123535156e-05
list, 2, 40, 3.910064697265625e-05
list, 2, 40, 4.0531158447265625e-05
list, 2, 40, 3.886222839355469e-05
list, 2, 45, 3.1948089599609375e-05
list, 2, 45, 3.0040740966796875e-05
list, 2, 45, 3.62396240234375e-05
list, 2, 45, 3.504753112792969e-05
list, 2, 45, 3.0517578125e-05
list, 2, 45, 4.029273986816406e-05
list, 2, 45, 3.361701965332031e-05
list, 2, 45, 3.6716461181640625e-05
