Type, Size, Saturation, Time
list, 1, 35, 2.86102294921875e-06
list, 1, 35, 3.0994415283203125e-06
list, 1, 35, 4.76837158203125e-06
list, 1, 35, 3.5762786865234375e-06
list, 1, 35, 2.6226043701171875e-06
list, 1, 35, 2.6226043701171875e-06
list, 1, 35, 2.6226043701171875e-06
list, 1, 35, 3.337860107421875e-06
list, 1, 35, 2.6226043701171875e-06
list, 1, 40, 3.0994415283203125e-06
list, 1, 40, 2.6226043701171875e-06
list, 1, 40, 3.0994415283203125e-06
list, 1, 40, 4.0531158447265625e-06
list, 1, 40, 3.5762786865234375e-06
list, 1, 40, 3.337860107421875e-06
list, 1, 40, 3.0994415283203125e-06
list, 1, 40, 3.337860107421875e-06
list, 1, 40, 2.86102294921875e-06
list, 1, 40, 2.384185791015625e-06
list, 1, 45, 2.384185791015625e-06
list, 1, 45, 2.86102294921875e-06
list, 1, 45, 2.6226043701171875e-06
list, 1, 45, 2.86102294921875e-06
list, 1, 45, 2.86102294921875e-06
list, 1, 45, 3.337860107421875e-06
list, 1, 45, 2.86102294921875e-06
list, 1, 45, 3.337860107421875e-06
list, 1, 45, 2.6226043701171875e-06
list, 1, 45, 3.337860107421875e-06
list, 1, 50, 3.337860107421875e-06
list, 1, 50, 4.5299530029296875e-06
list, 1, 50, 3.0994415283203125e-06
list, 1, 50, 3.337860107421875e-06
list, 1, 50, 2.6226043701171875e-06
list, 1, 50, 3.814697265625e-06
list, 1, 50, 2.384185791015625e-06
list, 1, 50, 2.86102294921875e-06
list, 1, 50, 3.0994415283203125e-06
list, 1, 50, 2.6226043701171875e-06
list, 1, 55, 2.384185791015625e-06
list, 1, 55, 2.86102294921875e-06
list, 1, 55, 5.4836273193359375e-06
list, 1, 55, 3.0994415283203125e-06
list, 1, 55, 2.384185791015625e-06
list, 1, 55, 3.337860107421875e-06
list, 1, 55, 2.86102294921875e-06
list, 1, 55, 3.0994415283203125e-06
list, 1, 55, 2.86102294921875e-06
list, 1, 55, 3.337860107421875e-06
list, 1, 60, 2.6226043701171875e-06
list, 1, 60, 2.384185791015625e-06
list, 1, 60, 2.86102294921875e-06
list, 1, 60, 3.0994415283203125e-06
list, 1, 60, 3.814697265625e-06
list, 1, 60, 2.86102294921875e-06
list, 1, 60, 2.86102294921875e-06
list, 1, 60, 4.76837158203125e-06
list, 1, 60, 3.337860107421875e-06
list, 1, 60, 4.0531158447265625e-06
list, 1, 65, 3.337860107421875e-06
list, 1, 65, 4.0531158447265625e-06
list, 1, 65, 3.5762786865234375e-06
list, 1, 65, 4.0531158447265625e-06
list, 1, 65, 3.0994415283203125e-06
list, 1, 65, 2.86102294921875e-06
list, 1, 65, 2.86102294921875e-06
list, 1, 65, 3.0994415283203125e-06
list, 1, 65, 2.6226043701171875e-06
list, 1, 65, 3.814697265625e-06
list, 1, 70, 3.5762786865234375e-06
list, 1, 70, 3.337860107421875e-06
list, 1, 70, 3.337860107421875e-06
list, 1, 70, 2.86102294921875e-06
list, 1, 70, 2.6226043701171875e-06
list, 1, 70, 3.814697265625e-06
list, 1, 70, 3.337860107421875e-06
list, 1, 70, 2.86102294921875e-06
list, 1, 70, 2.6226043701171875e-06
list, 1, 70, 3.337860107421875e-06
list, 1, 75, 4.0531158447265625e-06
list, 1, 75, 2.86102294921875e-06
list, 1, 75, 1.3113021850585938e-05
list, 1, 75, 3.0994415283203125e-06
list, 1, 75, 2.6226043701171875e-06
list, 1, 75, 2.384185791015625e-06
list, 1, 75, 2.86102294921875e-06
list, 1, 75, 2.384185791015625e-06
list, 1, 75, 2.6226043701171875e-06
list, 1, 75, 2.86102294921875e-06
list, 1, 80, 3.5762786865234375e-06
list, 1, 80, 3.0994415283203125e-06
list, 1, 80, 3.337860107421875e-06
list, 1, 80, 2.6226043701171875e-06
list, 1, 80, 2.6226043701171875e-06
list, 1, 80, 2.6226043701171875e-06
list, 1, 80, 2.384185791015625e-06
list, 1, 80, 2.6226043701171875e-06
list, 1, 80, 3.0994415283203125e-06
list, 1, 80, 3.0994415283203125e-06
list, 1, 85, 3.814697265625e-06
list, 1, 85, 3.0994415283203125e-06
list, 1, 85, 3.0994415283203125e-06
list, 1, 85, 4.291534423828125e-06
list, 1, 85, 3.0994415283203125e-06
list, 1, 85, 3.337860107421875e-06
list, 1, 85, 2.86102294921875e-06
list, 1, 85, 2.6226043701171875e-06
list, 1, 85, 2.6226043701171875e-06
list, 1, 85, 2.1457672119140625e-06
list, 1, 90, 3.0994415283203125e-06
list, 1, 90, 2.384185791015625e-06
list, 1, 90, 4.0531158447265625e-06
list, 1, 90, 3.814697265625e-06
list, 1, 90, 3.337860107421875e-06
list, 1, 90, 2.86102294921875e-06
list, 1, 90, 2.6226043701171875e-06
list, 1, 90, 2.384185791015625e-06
list, 1, 90, 2.86102294921875e-06
list, 1, 90, 2.86102294921875e-06
list, 1, 95, 2.86102294921875e-06
list, 1, 95, 3.0994415283203125e-06
list, 1, 95, 2.384185791015625e-06
list, 1, 95, 2.6226043701171875e-06
list, 1, 95, 2.6226043701171875e-06
