Size, Time
11, 0.006220579147338867
11, 0.005631923675537109
11, 0.00498652458190918
11, 0.01666998863220215
11, 0.012079238891601562
11, 0.020564556121826172
11, 0.004910707473754883
11, 0.0032911300659179688
11, 0.007127523422241211
11, 1.9788742065429688e-05
12, 0.030550003051757812
12, 1.6450881958007812e-05
12, 0.019183635711669922
12, 0.06630063056945801
12, 0.028044700622558594
12, 0.03315544128417969
12, 2.0503997802734375e-05
12, 0.043755292892456055
12, 0.07636857032775879
12, 0.12518596649169922
13, 0.17504358291625977
13, 0.14671611785888672
13, 0.3754913806915283
13, 0.07654142379760742
13, 0.12630581855773926
13, 0.32936954498291016
13, 0.15111446380615234
13, 0.2693979740142822
13, 0.15935468673706055
13, 0.17906641960144043
14, 0.8545198440551758
14, 2.406827211380005
14, 1.5373914241790771
14, 0.6198134422302246
14, 2.1303253173828125
14, 0.9873387813568115
14, 0.4307887554168701
14, 1.5080735683441162
14, 0.46280956268310547
14, 1.291260004043579
15, 12.014866828918457
15, 3.0133254528045654
15, 4.0381083488464355
15, 4.96994423866272
15, 8.884452819824219
15, 6.652069330215454
15, 6.256660223007202
15, 8.445138454437256
15, 5.631267070770264
15, 10.641165256500244
16, 98.72432327270508
16, 92.38399720191956
16, 35.136229515075684
16, 1.6689300537109375e-05
16, 39.04610991477966
16, 50.85771346092224
16, 13.714950799942017
16, 12.040356159210205
16, 39.48475980758667
16, 111.33031415939331
17, 1196.5675938129425
17, 132.02474784851074
17, 380.41420125961304
17, 1.7881393432617188e-05
17, 637.7437360286713
17, 832.0449531078339
17, 525.5985674858093
17, 594.2035665512085
