Type, Size, Saturation, Time
list, 2, 40, 5.6743621826171875e-05
list, 2, 40, 3.361701965332031e-05
list, 2, 40, 3.170967102050781e-05
list, 2, 40, 5.3882598876953125e-05
list, 2, 40, 5.054473876953125e-05
list, 2, 40, 5.0067901611328125e-05
list, 2, 45, 5.1975250244140625e-05
list, 2, 45, 3.838539123535156e-05
list, 2, 45, 6.461143493652344e-05
list, 2, 45, 3.266334533691406e-05
list, 2, 45, 3.695487976074219e-05
list, 2, 45, 4.982948303222656e-05
list, 2, 45, 4.220008850097656e-05
list, 2, 45, 2.8848648071289062e-05
list, 2, 45, 3.0279159545898438e-05
list, 2, 45, 3.409385681152344e-05
list, 2, 50, 3.1948089599609375e-05
list, 2, 50, 3.3855438232421875e-05
list, 2, 50, 3.504753112792969e-05
list, 2, 50, 4.410743713378906e-05
list, 2, 50, 4.9591064453125e-05
list, 2, 50, 2.574920654296875e-05
list, 2, 50, 3.910064697265625e-05
list, 2, 50, 3.218650817871094e-05
list, 2, 50, 5.2928924560546875e-05
list, 2, 50, 3.361701965332031e-05
list, 2, 55, 7.939338684082031e-05
list, 2, 55, 3.0279159545898438e-05
list, 2, 55, 3.600120544433594e-05
list, 2, 55, 2.47955322265625e-05
list, 2, 55, 3.0279159545898438e-05
list, 2, 55, 2.7418136596679688e-05
list, 2, 55, 4.291534423828125e-05
list, 2, 55, 5.91278076171875e-05
list, 2, 55, 5.0067901611328125e-05
list, 2, 55, 4.3392181396484375e-05
list, 2, 60, 5.173683166503906e-05
list, 2, 60, 4.0531158447265625e-05
list, 2, 60, 4.0531158447265625e-05
list, 2, 60, 4.410743713378906e-05
list, 2, 60, 4.00543212890625e-05
list, 2, 60, 3.266334533691406e-05
list, 2, 60, 4.506111145019531e-05
list, 2, 60, 3.4809112548828125e-05
list, 2, 60, 4.57763671875e-05
list, 2, 60, 3.7670135498046875e-05
list, 2, 65, 3.1948089599609375e-05
list, 2, 65, 2.8371810913085938e-05
list, 2, 65, 3.170967102050781e-05
list, 2, 65, 2.9087066650390625e-05
list, 2, 65, 5.650520324707031e-05
list, 2, 65, 6.0558319091796875e-05
list, 2, 65, 6.270408630371094e-05
list, 2, 65, 2.7418136596679688e-05
